date,year,month,segment_label,origin_zone,destination,destination_continent,passengers,direct_flights,passengers_last_year,direct_flights_last_year,passengers_yoy_pct,direct_flights_yoy_pct,rolling_3m_passengers,rolling_gap_pct,alert_level,alert_reason
2019-01-01,2019,1,International,Metropole,Afrique Du Sud,Afrique,36847,106,,,,,,,normal,RAS
2019-02-01,2019,2,International,Metropole,Afrique Du Sud,Afrique,34123,94,,,,,,,normal,RAS
2019-03-01,2019,3,International,Metropole,Afrique Du Sud,Afrique,36234,100,,,,,35734.666666666664,1.3973359203014881,normal,RAS
2019-04-01,2019,4,International,Metropole,Afrique Du Sud,Afrique,20583,76,,,,,30313.333333333332,-32.09918627666593,watch,Sous le rythme recent
2019-05-01,2019,5,International,Metropole,Afrique Du Sud,Afrique,21260,80,,,,,26025.666666666668,-18.311410530630024,normal,RAS
2019-06-01,2019,6,International,Metropole,Afrique Du Sud,Afrique,20524,79,,,,,20789.0,-1.2747125883880899,normal,RAS
2019-07-01,2019,7,International,Metropole,Afrique Du Sud,Afrique,21930,78,,,,,21238.0,3.258310575383746,normal,RAS
2019-08-01,2019,8,International,Metropole,Afrique Du Sud,Afrique,23352,81,,,,,21935.333333333332,6.458377655532936,normal,RAS
2019-09-01,2019,9,International,Metropole,Afrique Du Sud,Afrique,21739,81,,,,,22340.333333333332,-2.6916936482594958,normal,RAS
2019-10-01,2019,10,International,Metropole,Afrique Du Sud,Afrique,25339,89,,,,,23476.666666666668,7.932699133891802,normal,RAS
2019-11-01,2019,11,International,Metropole,Afrique Du Sud,Afrique,36623,96,,,,,27900.333333333332,31.263664711293774,watch,Au-dessus du rythme recent
2019-12-01,2019,12,International,Metropole,Afrique Du Sud,Afrique,37274,98,,,,,33078.666666666664,12.68289733564433,normal,RAS
2020-01-01,2020,1,International,Metropole,Afrique Du Sud,Afrique,36818,97,36847.0,106.0,-0.07870382934838657,-8.49056603773585,36905.0,-0.23574041457797046,normal,RAS
2020-02-01,2020,2,International,Metropole,Afrique Du Sud,Afrique,35646,91,34123.0,94.0,4.463265246314802,-3.1914893617021276,36579.333333333336,-2.55153183035959,normal,RAS
2020-03-01,2020,3,International,Metropole,Afrique Du Sud,Afrique,20821,70,36234.0,100.0,-42.53739581608434,-30.0,31095.0,-33.04068178163692,watch,Baisse marquee vs N-1
2020-07-01,2020,7,International,Metropole,Afrique Du Sud,Afrique,819,24,20583.0,76.0,-96.0209881941408,-68.42105263157895,19095.333333333332,-95.71099396012987,normal,Baisse marquee vs N-1
2020-08-01,2020,8,International,Metropole,Afrique Du Sud,Afrique,723,41,21260.0,80.0,-96.59924741298212,-48.75,7454.333333333333,-90.30094352278317,normal,Baisse marquee vs N-1
2020-10-01,2020,10,International,Metropole,Afrique Du Sud,Afrique,824,41,20524.0,79.0,-95.98518807250048,-48.10126582278481,788.6666666666666,4.480135249366024,normal,Baisse marquee vs N-1
2020-11-01,2020,11,International,Metropole,Afrique Du Sud,Afrique,412,25,21930.0,78.0,-98.12129502963977,-67.94871794871796,653.0,-36.906584992343035,normal,Baisse marquee vs N-1
