date,year,month,segment_label,passengers,commercial_units,direct_flights,destinations,passengers_yoy_pct,direct_flights_yoy_pct
1990-01-01,1990,1,International,2557855,3241704,49291,76,,
1990-01-01,1990,1,National,1824620,1965521,33422,2,,
1990-02-01,1990,2,International,2506289,3198239,45803,71,,
1990-02-01,1990,2,National,1701885,1846196,30584,2,,
1990-03-01,1990,3,International,2974629,3797371,52264,73,,
1990-03-01,1990,3,National,1943040,2109471,35007,2,,
1990-04-01,1990,4,International,3392770,4130331,54945,77,,
1990-04-01,1990,4,National,2063350,2215147,34527,2,,
1990-05-01,1990,5,International,3442745,4151934,58273,77,,
1990-05-01,1990,5,National,2042480,2193331,34924,2,,
1990-06-01,1990,6,International,3604309,4341781,57693,81,,
1990-06-01,1990,6,National,2344922,2497408,37510,2,,
1990-07-01,1990,7,International,3895321,4597972,57894,81,,
1990-07-01,1990,7,National,2134354,2277841,38216,2,,
1990-08-01,1990,8,International,3964247,4602961,59078,82,,
1990-08-01,1990,8,National,2031777,2174527,35669,2,,
1990-09-01,1990,9,International,3864766,4561752,57951,81,,
1990-09-01,1990,9,National,2227868,2373984,37364,2,,
1990-10-01,1990,10,International,3247783,4009135,55204,77,,
1990-10-01,1990,10,National,2113567,2272000,37986,2,,
1990-11-01,1990,11,International,2486782,3254476,48298,73,,
1990-11-01,1990,11,National,1802205,1954209,33827,2,,
1990-12-01,1990,12,International,2464389,3238110,44822,77,,
1990-12-01,1990,12,National,1803079,1966545,30517,2,,
1991-01-01,1991,1,International,2264445,2884614,49305,70,-11.47,0.03
1991-01-01,1991,1,National,1757136,1887806,34932,2,-3.7,4.52
1991-02-01,1991,2,International,1787903,2410893,40735,64,-28.66,-11.06
1991-02-01,1991,2,National,1507303,1632426,30342,2,-11.43,-0.79
1991-03-01,1991,3,International,2415540,3187276,47396,68,-18.8,-9.31
1991-03-01,1991,3,National,1852724,2021522,34342,2,-4.65,-1.9
1991-04-01,1991,4,International,2772432,3496826,52172,74,-18.28,-5.05
1991-04-01,1991,4,National,2015589,2179440,36003,2,-2.31,4.27
1991-05-01,1991,5,International,3362468,4066189,57878,72,-2.33,-0.68
1991-05-01,1991,5,National,2098534,2249938,35644,2,2.74,2.06
1991-06-01,1991,6,International,3351893,4036623,54161,74,-7.0,-6.12
1991-06-01,1991,6,National,2121896,2275308,35563,2,-9.51,-5.19
1991-07-01,1991,7,International,3763337,4466242,59454,79,-3.39,2.69
1991-07-01,1991,7,National,2236374,2410838,40234,2,4.78,5.28
1991-08-01,1991,8,International,3979397,4614196,58182,80,0.38,-1.52
1991-08-01,1991,8,National,2010687,2156878,35085,2,-1.04,-1.64
1991-09-01,1991,9,International,3804956,4515860,57548,78,-1.55,-0.7
1991-09-01,1991,9,National,2212434,2367894,37622,2,-0.69,0.69
1991-10-01,1991,10,International,3250461,4002710,54864,72,0.08,-0.62
1991-10-01,1991,10,National,2091794,2259938,37953,2,-1.03,-0.09
1991-11-01,1991,11,International,2527745,3273517,47665,73,1.65,-1.31
1991-11-01,1991,11,National,1857944,2014124,32395,2,3.09,-4.23
1991-12-01,1991,12,International,2580146,3339687,48096,72,4.7,7.3
1991-12-01,1991,12,National,1949336,2125524,33104,2,8.11,8.48
1992-01-01,1992,1,International,2664649,3305312,51703,69,17.67,4.86
1992-01-01,1992,1,National,1870044,2029348,34531,2,6.43,-1.15
1992-02-01,1992,2,International,2605202,3324131,48831,70,45.71,19.87
1992-02-01,1992,2,National,1732211,1895892,32625,2,14.92,7.52
1992-03-01,1992,3,International,2970194,3780934,53670,74,22.96,13.24
1992-03-01,1992,3,National,1928886,2109741,34636,2,4.11,0.86
1992-04-01,1992,4,International,3488379,4234557,57864,76,25.82,10.91
1992-04-01,1992,4,National,2074409,2251240,35574,2,2.92,-1.19
1992-05-01,1992,5,International,3893948,4641844,61825,76,15.81,6.82
1992-05-01,1992,5,National,2096944,2249838,34879,2,-0.08,-2.15
1992-06-01,1992,6,International,3688795,4422753,59072,73,10.05,9.07
1992-06-01,1992,6,National,2290323,2457593,37250,2,7.94,4.74
1992-07-01,1992,7,International,4216909,5004507,63498,79,12.05,6.8
1992-07-01,1992,7,National,2284173,2482569,39187,2,2.14,-2.6
1992-08-01,1992,8,International,4527829,5219067,62888,82,13.78,8.09
1992-08-01,1992,8,National,2089451,2236027,34775,2,3.92,-0.88
1992-09-01,1992,9,International,4161851,4904964,61300,76,9.38,6.52
1992-09-01,1992,9,National,2221936,2385535,37230,2,0.43,-1.04
1992-10-01,1992,10,International,3529513,4343733,58220,76,8.58,6.12
1992-10-01,1992,10,National,2145735,2316364,36291,2,2.58,-4.38
1992-11-01,1992,11,International,2630284,3425283,51988,70,4.06,9.07
1992-11-01,1992,11,National,1841678,2008652,32426,2,-0.88,0.1
1992-12-01,1992,12,International,2692709,3524081,52700,75,4.36,9.57
1992-12-01,1992,12,National,2038956,2237011,33946,2,4.6,2.54
1993-01-01,1993,1,International,2829661,3523873,55232,72,6.19,6.83
1993-01-01,1993,1,National,1895772,2066406,34437,2,1.38,-0.27
1993-02-01,1993,2,International,2670865,3409002,50765,71,2.52,3.96
1993-02-01,1993,2,National,1807709,1984076,31251,2,4.36,-4.21
1993-03-01,1993,3,International,3033361,3935902,56796,75,2.13,5.82
1993-03-01,1993,3,National,1977202,2195040,35954,2,2.5,3.81
1993-04-01,1993,4,International,3703760,4502707,59897,78,6.17,3.51
1993-04-01,1993,4,National,2177463,2389598,36079,2,4.97,1.42
1993-05-01,1993,5,International,3967592,4786483,64893,76,1.89,4.96
1993-05-01,1993,5,National,2167307,2349641,35486,2,3.36,1.74
1993-06-01,1993,6,International,3800741,4581519,61345,78,3.03,3.85
1993-06-01,1993,6,National,2323842,2534165,37199,2,1.46,-0.14
1993-07-01,1993,7,International,4438876,5250675,65680,82,5.26,3.44
1993-07-01,1993,7,National,2352512,2562357,38646,2,2.99,-1.38
1993-08-01,1993,8,International,4663412,5408610,65436,83,2.99,4.05
1993-08-01,1993,8,National,2165520,2352424,35246,2,3.64,1.35
1993-09-01,1993,9,International,4200382,5000485,63247,77,0.93,3.18
1993-09-01,1993,9,National,2242879,2454914,36962,2,0.94,-0.72
1993-10-01,1993,10,International,3421754,3997041,55430,69,-3.05,-4.79
1993-10-01,1993,10,National,1968760,2142258,34717,2,-8.25,-4.34
1993-11-01,1993,11,International,2738705,3548587,53668,74,4.12,3.23
1993-11-01,1993,11,National,1823993,2015462,32390,2,-0.96,-0.11
1993-12-01,1993,12,International,2875714,3799747,56112,80,6.8,6.47
1993-12-01,1993,12,National,2066006,2301658,35220,2,1.33,3.75
1994-01-01,1994,1,International,3007167,3837856,57114,77,6.27,3.41
1994-01-01,1994,1,National,1980027,2192268,34851,2,4.44,1.2
1994-02-01,1994,2,International,2829489,3688921,52895,75,5.94,4.2
1994-02-01,1994,2,National,1901769,2108505,32772,2,5.2,4.87
1994-03-01,1994,3,International,3507437,4552235,59975,79,15.63,5.6
1994-03-01,1994,3,National,2127467,2385399,37295,2,7.6,3.73
1994-04-01,1994,4,International,3931697,4883901,63181,81,6.15,5.48
1994-04-01,1994,4,National,2247557,2477046,36488,2,3.22,1.13
1994-05-01,1994,5,International,4187219,5144960,67587,81,5.54,4.15
1994-05-01,1994,5,National,2241202,2451822,36941,2,3.41,4.1
1994-06-01,1994,6,International,4106254,5077817,64761,77,8.04,5.57
1994-06-01,1994,6,National,2370639,2605717,37530,2,2.01,0.89
1994-07-01,1994,7,International,4823017,5814136,68465,84,8.65,4.24
1994-07-01,1994,7,National,2396520,2621296,38209,2,1.87,-1.13
1994-08-01,1994,8,International,4803991,5751586,68075,85,3.01,4.03
1994-08-01,1994,8,National,2138786,2359371,36488,2,-1.23,3.52
1994-09-01,1994,9,International,4483585,5500471,65916,81,6.74,4.22
1994-09-01,1994,9,National,2279263,2517842,37938,2,1.62,2.64
1994-10-01,1994,10,International,3952088,5052515,63121,80,15.5,13.88
1994-10-01,1994,10,National,2153658,2385293,36730,2,9.39,5.8
1994-11-01,1994,11,International,3021372,4100022,57892,79,10.32,7.87
1994-11-01,1994,11,National,1981861,2213238,34819,2,8.66,7.5
1994-12-01,1994,12,International,3073374,4224650,59321,81,6.87,5.72
1994-12-01,1994,12,National,2110516,2382244,36575,2,2.15,3.85
1995-01-01,1995,1,International,3176425,4110105,61093,79,5.63,6.97
1995-01-01,1995,1,National,2074010,2310420,37756,2,4.75,8.34
1995-02-01,1995,2,International,2860830,3822350,55784,76,1.11,5.46
1995-02-01,1995,2,National,1938986,2166380,34741,2,1.96,6.01
1995-03-01,1995,3,International,3583533,4737874,63048,80,2.17,5.12
1995-03-01,1995,3,National,2051663,2305721,38720,2,-3.56,3.82
1995-04-01,1995,4,International,4204709,5246866,65739,82,6.94,4.05
1995-04-01,1995,4,National,2156814,2388518,38662,2,-4.04,5.96
1995-05-01,1995,5,International,4244053,5232900,70763,76,1.36,4.7
1995-05-01,1995,5,National,2233648,2457569,40420,2,-0.34,9.42
1995-06-01,1995,6,International,4268363,5279244,67212,77,3.95,3.78
1995-06-01,1995,6,National,2499247,2747080,42242,2,5.43,12.56
1995-07-01,1995,7,International,4843567,5881982,70725,86,0.43,3.3
1995-07-01,1995,7,National,2487420,2729119,43013,2,3.79,12.57
1995-08-01,1995,8,International,4831908,5783402,69506,82,0.58,2.1
1995-08-01,1995,8,National,2219579,2446661,39487,2,3.78,8.22
1995-09-01,1995,9,International,4510317,5526381,67095,82,0.6,1.79
1995-09-01,1995,9,National,2260157,2505321,40661,2,-0.84,7.18
1995-10-01,1995,10,International,3933798,5034174,64664,80,-0.46,2.44
1995-10-01,1995,10,National,2280070,2514661,40643,2,5.87,10.65
1995-11-01,1995,11,International,2955701,3994700,57512,79,-2.17,-0.66
1995-11-01,1995,11,National,2039436,2257559,38411,2,2.91,10.32
1995-12-01,1995,12,International,2844720,3857819,56702,78,-7.44,-4.41
1995-12-01,1995,12,National,2051800,2250992,38372,2,-2.78,4.91
1996-01-01,1996,1,International,3147540,4052437,61767,78,-0.91,1.1
1996-01-01,1996,1,National,2216354,2460866,42450,2,6.86,12.43
1996-02-01,1996,2,International,3063192,4011695,58444,79,7.07,4.77
1996-02-01,1996,2,National,2146504,2381312,40533,2,10.7,16.67
1996-03-01,1996,3,International,3994645,5109906,64174,84,11.47,1.79
1996-03-01,1996,3,National,2428478,2689107,43563,2,18.37,12.51
1996-04-01,1996,4,International,4305654,5311657,68813,81,2.4,4.68
1996-04-01,1996,4,National,2496547,2740001,44709,2,15.75,15.64
1996-05-01,1996,5,International,4461483,5430793,73897,80,5.12,4.43
1996-05-01,1996,5,National,2407748,2633028,44608,2,7.79,10.36
1996-06-01,1996,6,International,4614268,5666407,70802,80,8.1,5.34
1996-06-01,1996,6,National,2588684,2824574,44947,2,3.58,6.4
1996-07-01,1996,7,International,4953356,5997108,74643,86,2.27,5.54
1996-07-01,1996,7,National,2588959,2847543,47897,2,4.08,11.35
1996-08-01,1996,8,International,5230314,6189984,73272,89,8.25,5.42
1996-08-01,1996,8,National,2383198,2601224,43120,2,7.37,9.2
1996-09-01,1996,9,International,4820063,5877187,71477,83,6.87,6.53
1996-09-01,1996,9,National,2385591,2620424,45431,2,5.55,11.73
1996-10-01,1996,10,International,4207168,5301820,67918,84,6.95,5.03
1996-10-01,1996,10,National,2383766,2634761,45551,2,4.55,12.08
1996-11-01,1996,11,International,3373283,4519546,62983,79,14.13,9.51
1996-11-01,1996,11,National,2107007,2344230,42627,2,3.31,10.98
1996-12-01,1996,12,International,3411773,4532489,62833,83,19.93,10.81
1996-12-01,1996,12,National,2305617,2568486,44170,2,12.37,15.11
1997-01-01,1997,1,International,3407391,4341354,63277,82,8.26,2.44
1997-01-01,1997,1,National,2282438,2529040,48314,2,2.98,13.81
1997-02-01,1997,2,International,3339138,4346884,61963,78,9.01,6.02
1997-02-01,1997,2,National,2190103,2421317,42354,2,2.03,4.49
1997-03-01,1997,3,International,4180228,5351882,68335,82,4.65,6.48
1997-03-01,1997,3,National,2310208,2563493,45739,2,-4.87,5.0
1997-04-01,1997,4,International,4454864,5495488,72392,81,3.47,5.2
1997-04-01,1997,4,National,2408546,2664723,46586,2,-3.52,4.2
1997-05-01,1997,5,International,4566796,5607690,75831,84,2.36,2.62
1997-05-01,1997,5,National,2170490,2394505,46138,2,-9.85,3.43
1997-06-01,1997,6,International,4749735,5835428,73178,84,2.94,3.36
1997-06-01,1997,6,National,2594047,2831387,50915,2,0.21,13.28
1997-07-01,1997,7,International,5178499,6264559,76512,89,4.55,2.5
1997-07-01,1997,7,National,2628602,2887792,53389,2,1.53,11.47
1997-08-01,1997,8,International,5555909,6582139,76075,88,6.23,3.83
1997-08-01,1997,8,National,2470402,2684840,48278,2,3.66,11.96
1997-09-01,1997,9,International,5046186,6117162,75047,85,4.69,4.99
